OUT_NAME,SST_FILES,N_GWAS,POP
AlcDep2018,"AlcDep2018_EUR.txt,AlcDep2018_AFR.txt","8922,5732","EUR,AFR"
AUD2023,"AUD2023_AFR.txt,AUD2023_EAS.txt,AUD2023_EUR.txt","99586,13551,385261","AFR,EAS,EUR"
AUDITC2019,"AUDITC2019_AA.txt,AUDITC2019_EA.txt","72303,200539","AFR,EUR"
CUD2023,"CUD2023_AFR.txt,CUD2023_EUR.txt","64460,161053","AFR,EUR"
PAU2023,"PAU2023_EUR.txt,PAU2023_SAS.txt","535160,1716","EUR,SAS"
AgeSmk,"AgeSmk_AFR.txt,AgeSmk_AMR.txt,AgeSmk_EAS.txt,AgeSmk_EUR.txt","17508,33914,63353,618541","AFR,AMR,EAS,EUR"
CigDay,"CigDay_AFR.txt,CigDay_AMR.txt,CigDay_EAS.txt,CigDay_EUR.txt","20157,35129,108275,618489","AFR,AMR,EAS,EUR"
DrnkWk,"DrnkWk_AFR.txt,DrnkWk_AMR.txt,DrnkWk_EAS.txt,DrnkWk_EUR.txt","95343,274707,160775,2428851","AFR,AMR,EAS,EUR"
SmkCes,"SmkCes_AFR.txt,SmkCes_AMR.txt,SmkCes_EAS.txt,SmkCes_EUR.txt","34970,90525,121859,1147272","AFR,AMR,EAS,EUR"
SmkInit,"SmkInit_AFR.txt,SmkInit_AMR.txt,SmkInit_EAS.txt,SmkInit_EUR.txt","119589,286026,296395,2669029","AFR,AMR,EAS,EUR"
